state,x,y
Acre,-297.0,38.0
Amazonas,-206.0,119.0
Rondonia,-163.0,12.0
Roraima,-132.0,220.0
Pará,8.0,116.0
Amapá,32.0,224.0
Tocantins,99.0,15.0
Mato Grosso,-48.0,-30.0
Mato Grosso do Sul,-26.0,-156.0
Goiás,59.0,-85.0
Maranhão,133.0,113.0
Piauí,177.0,59.0
Ceará,245.0,114.0
Rio Grande do Norte,291.0,99.0
Paraíba,297.0,73.0
Pernambuco,297.0,52.0
Alagoas,296.0,29.0
Sergipe,283.0,19.0
Bahia,210.0,-11.0
Espirito Santo,226.0,-138.0
Mina Gerais,155.0,-121.0
Rio de janeiro,190.0,-193.0
São Paulo,86.0,-187.0
Paraná,30.0,-230.0
Santa Catarina,57.0,-276.0
Rio Grande do Sul,2.0,-320.0